date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
2022-06-14,2022,Provision of timely life-saving WASH Services to the most vulnerable communities affected by droughts in Burtinle,445368,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Islamic Relief Worldwide,NGO,Water Sanitation Hygiene,SOM,Provision of Integrated Emergency WASH Services in Diinsoor and Bardale ,HSOM22-WSH-184253-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-01,2022-06-14,Drought,,,,254716,SOM-22/3485/SA1/WASH/INGO/21556,2022-07-01,2022-07-01
2022-06-10,2022,"Provision of Emergency NFIs to the newly displaced people affected by droughts in Kahda Hoosh IDP Camps, Banadir Region, Somalia",599977,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,AYUUB Organization,NGO,Emergency Shelter and NFI,SOM,"Provision of Shelter and NFIs to the Conflicts and Climate Shocks affected populations in Lower Shaballe and Middle Shabelle regions, Somalia",HSOM22-SHL-184227-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-01,2022-06-10,Drought,,,,254685,SOM-22/3485/RA2 /Shelter/NGO/22037,2022-07-01,2022-07-01
2022-06-10,2022,"""Integrated health and nutrition response to drought affected communities in Rabdhure district Bakool region""",217065,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Hidig Relief And Development Organization,NGO,Health,SOM,"Provision of emergency life-saving essential health care services through static and mobile/outreach to crisis affected populations in Bay, Bakool and Hiran region Somalia",HSOM22-HEA-184422-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-01,2022-06-10,Drought,,,,254698,SOM-22/3485/RA2 /H-Nut/NGO/21976,2022-07-01,2022-07-01
2022-06-10,2022,"""Integrated health and nutrition response to drought affected communities in Rabdhure district Bakool region""",217065,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Hidig Relief And Development Organization,NGO,Nutrition,SOM,"Provision of integrated management for severely and moderately acute malnutrition among boys, girls and PLWs Hiran, Bay and Bakool regions Somalia",HSOM22-NUT-184418-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-01,2022-06-10,Drought,,,,254700,SOM-22/3485/RA2 /H-Nut/NGO/21976,2022-07-01,2022-07-01
2022-06-10,2022,Provision of Emergency lifesaving integrated health/nutrition services to drought affected population in Elbur district in Galgadud region,437712,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,KAAH Relief and Development Organization,NGO,Nutrition,SOM,,,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-01,2022-06-11,Drought,,,,254717,SOM-22/3485/RA2 /Nut-H/NGO/21977,2022-07-01,2022-07-01
2022-06-10,2022,Support Scale up of integrated lifesaving health and nutrition services to drought affected population in Buhoodle district.,180018,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Nomadic Development Organization,NGO,Nutrition,SOM,Reduction of morbidity and mortality related to Acute Malnutrition among PLW and the under five children in Buuhoodle district of Togdheer region,HSOM22-NUT-184559-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-06-10,Drought,,,,254737,SOM-22/3485/RA2 /Nut-H/NGO/21992,2022-07-04,2022-07-04
2022-06-10,2022,Support Scale up of integrated lifesaving health and nutrition services to drought affected population in Buhoodle district.,180018,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Nomadic Development Organization,NGO,Health,SOM,Provision of integrated lifesaving health services to crisis affected population in Buuhoodle district of Togdheer region,HSOM22-HEA-184511-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-06-10,Drought,,,,254738,SOM-22/3485/RA2 /Nut-H/NGO/21992,2022-07-04,2022-07-04
2022-06-10,2022,Integrated Emergency lifesaving WASH and NUTRITION support for the most vulnerable population affected by natural disasters (drought) and the impact of COVID-19 Pandemic.,250000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Somali Community Concern,NGO,Camp Coordination / Management,SOM,Improve CCCM to support vulnerable IDP settlements in Kahda and Daynile districts of Banadir Region.,HSOM22-CCM-184199-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-06-10,Drought,,,,254752,SOM-22/3485/RA2 /CCCM/NGO/21985,2022-07-04,2022-07-04
2022-06-10,2022,Provision of integrated lifesaving Health and Nutrition services to drought affected children in Heliwa district of Banadir region,181471,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,SOS Children's Villages - Somalia,NGO,Nutrition,SOM,"Improving the Health and Nutrition status of children under 5 years and mothers of  IDP’s and vulnerable Host Community in Middle, lower Shabelle and Banadir Regions",HSOM22-NUT-184433-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-06-10,Drought,,,,254755,SOM-22/3485/RA2 /Nut-H/INGO/21996,2022-07-04,2022-07-04
2022-06-10,2022,Provision of integrated lifesaving Health and Nutrition services to drought affected children in Heliwa district of Banadir region,77773,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,SOS Children's Villages - Somalia,NGO,Health,SOM," Provision of life Saving primary Health care Interventions to vulnerable people in hard to reach area in Banadir, Bay and Middle Shabelle Regions",HSOM22-HEA-184423-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-06-10,Drought,,,,254756,SOM-22/3485/RA2 /Nut-H/INGO/21996,2022-07-04,2022-07-04
2022-06-10,2022,"Addressing the Emergency Shelter & NFIs needs for 25,476 of drought affected persons (4,246hhs) in Daynile district - Banadir region",699899,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Women Pioneers for Peace and Life,NGO,Emergency Shelter and NFI,SOM,"Shelter and NFIs Assistance for Conflict and Drought-Affected Populations in Banadir, Lower Shabelle, Bay, and Hiiraan Regions - Somalia",HSOM22-SHL-184153-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-06-10,Drought,,,,254760,SOM-22/3485/RA2 /Shelter/NGO/21990,2022-07-04,2022-07-04
2022-06-08,2022,"Provision of life-saving primary health care services to drought affected vulnerable host and IDP communities rural villages of Jowhar District, Middle Shabelle Region - Somalia",268106,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Aid Vision,NGO,Health,SOM,"Provision of primary Health care services for the Vulnerable communities in Balcad and Jowhar Districts of middle shabelle,Garasbaley and Shangani Districts of Banadir Regions, Somalia",HSOM22-HEA-184248-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-01,2022-06-08,,,,,254584,SOM-22/3485/SA1/FSC/NGO/21472,2022-07-01,2022-07-01
2022-06-08,2022,Provision of quality Health and Nutrition essential services for drought affected populations living in areas at risk of famine in Hobyo District of Mudug Region.,156856,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Cooperazione E Sviluppo - CESVI,NGO,Health,SOM,"Improving access to quality emergency and essential lifesaving health services for crisis affected populations in Hobyo, Abduwak, Afgooye, Beletwayne and Wadajiir districts",HSOM22-HEA-184178-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-01,2022-06-08,Drought,,,,254692,SOM-22/3485/RA2 /H-Nut/INGO/22000,2022-07-01,2022-07-01
2022-06-08,2022,Provision of quality Health and Nutrition essential services for drought affected populations living in areas at risk of famine in Hobyo District of Mudug Region.,156856,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Cooperazione E Sviluppo - CESVI,NGO,Nutrition,SOM,"Provision of nutrition treatment and prevention services to crisis affected populations in Mudug, Hiraan, Banadir and Lower Shebelle Regions ",HSOM22-NUT-184320-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-01,2022-06-08,Drought,,,,254726,SOM-22/3485/RA2 /H-Nut/INGO/22000,2022-07-01,2022-07-01
2022-06-08,2022,Provision of Essential Camp Coordinator and Camp Management Services to ensure basic service provision for the drought-affected Sites residents in Deynille District.,246083,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Northern Frontier Youth League,NGO,Camp Coordination / Management,SOM,"Provision of Essential Camp Coordination and Camp Management services and Protection of Sites residents for newly displaced and protracted internally IDPs Regions of Banadir, Galmudug, Lower Jubba and Gedo. ",HSOM22-CCM-184764-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-06-08,Drought,,,,254739,SOM-22/3485/RA2 /CCCM/NGO/21988,2022-07-04,2022-07-04
2022-06-08,2022,PROVISION OF LIFE SAVING HEALTH INTERVENTIONS INCLUDING AWD/CHOLERA CASE MANAGEMENT IN AFGOYE DISTRICT,284132,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Physicians Across Continents,NGO,Nutrition,SOM,Emergency response for nutrition of the crisis affected population in Banadir Region,HSOM22-NUT-184414-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-06-08,Drought,,,,254743,SOM-22/3485/RA2 /H/INGO/22070,2022-07-04,2022-07-04
2022-06-08,2022,"Provide lifesaving WASH services to most vulnerable drought/AWD/Cholera-affected rural communities and unserved populations in hard-to-reach areas including IDPs to prevent loss of lives and drought induced in Cadaado district, Galgadud region, Somalia.",550000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Polish Humanitarian Action,NGO,Water Sanitation Hygiene,SOM,"Provision of Emergency and sustainable  WASH Services for Vulnerable IDPs and communities in Banadir (Kaxda and Deynile), Middle Shabelle (Balcad and Jowhar) and Galgadud region of Somalia (Adado, dusmareb and Guricel district).",HSOM22-WSH-184709-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-06-08,Drought,,,,254744,SOM-22/3485/RA2 /WASH/INGO/22007,2022-07-04,2022-07-04
2022-06-08,2022,Strengthening Protection Environment for Drought-affected IDPs through GBV Prevention & Response & Mitigation of Child Protection risks in Baydhabo District,150000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Rural Education and Agriculture Development Organization,NGO,"Protection - Child Protection,Protection - Gender-Based Violence",SOM,"Child Protection response project for drought and conflict affected children living in crisis setiings in Bay and Bakol, Somalia.",HSOM22-PRO-184229-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-06-08,Drought,,,,254745,SOM-22/3485/RA2 /GBV-CP/NGO/21973,2022-07-04,2022-07-04
2022-06-08,2022,Strengthening Protection Environment for Drought-affected IDPs through GBV Prevention & Response & Mitigation of Child Protection risks in Baydhabo District,100000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Rural Education and Agriculture Development Organization,NGO,Protection - Child Protection,SOM,"Child Protection response project for drought and conflict affected children living in crisis setiings in Bay and Bakol, Somalia.",HSOM22-PRO-184229-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-06-08,Drought,,,,254746,SOM-22/3485/RA2 /GBV-CP/NGO/21973,2022-07-04,2022-07-04
2022-06-08,2022,"Provision of Emergency WASH to Drought Affected Households in Odweine District, Togdheer Region.",450000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Agricultural Development Organisation,NGO,Water Sanitation Hygiene,SOM,,,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-01,2022-06-08,Drought,,,,254777,SOM-22/3485/RA2 /WASH/NGO/21991,2022-07-04,2022-11-25
2022-06-06,2022,Providing Life Saving Treatment Nutrition Services to Somali Vulnerable Communities most severely affected by the drought,500000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,World Food Programme,UN agency,Logistics,SOM,Provision of Humanitarian Air Services in Somalia,HSOM22-LOG-184461-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-06-06,Drought,,,,254762,SOM-22/3485/RA2 /L/UN/22046,2022-07-04,2022-09-15
2022-06-02,2022,Provision of integrated lifesaving WASH services to drought affected population in Dusamareb district of Galgaduud region,600000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,New Ways Organization,NGO,Water Sanitation Hygiene,SOM,"Provision of lifesaving, sustainable, WASH services to the populations in crisis in; Lower Shebelle, M/Shabelle, Hiraan and Galgadud Regions. ",HSOM22-WSH-184223-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-06-02,Drought,,,,254733,SOM-22/3485/RA2 /WASH/NGO/21979,2022-07-04,2022-07-04
2022-06-02,2022,Provision of sustained access to emergency WASH services for the drought-affected IDP and Non-IDP households in Abudwak District,600000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Nomadic Assistance for Peace and Development,NGO,Water Sanitation Hygiene,SOM,"Vulnerable IDP and Host Communities in Jubaland, Banadir and Galgadud have  Increased Access to WASH Services ",HSOM22-WSH-184614-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-06-02,Drought,,,,254734,SOM-22/3485/RA2 /WASH/NGO/21998,2022-07-04,2022-07-04
2022-06-02,2022,Emergency WASH assistance to drought and displacement affected communities in Galgaduud,550000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Norwegian Refugee Council,NGO,Water Sanitation Hygiene,SOM,Life-saving WASH assistance to the most vulnerable displaced and non-displaced disaster affected populations in Somalia.,HSOM22-WSH-184592-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-06-02,Drought,,,,254741,SOM-22/3485/RA2 /WASH/INGO/22030,2022-07-04,2022-07-04
2022-06-02,2022,"Provision of NFIs kits to drought affected and displaced communities in Galgaduud region ( Cabudwaq, Dhusamreeb and Cadado districts).",600000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Save Somali Women and Children,NGO,Emergency Shelter and NFI,SOM,Enhancing the resilience and recovery of crises affected persons through the provision of shelter and NFIs in Banadir and Afgooye.,HSOM22-SHL-184563-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-06-02,Drought,,,,254747,SOM-22/3485/RA2 /Shelter/NGO/21970,2022-07-04,2022-07-04
2022-06-02,2022,Integrated Emergency lifesaving WASH and NUTRITION support for the most vulnerable population affected by natural disasters (drought) and the impact of COVID-19 Pandemic.,600000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Somali Community Concern,NGO,Water Sanitation Hygiene,SOM,"Improve access to WASH services for vulnerable crisis affected IDPs and host communities in Kahda, Daynile, Jowhar and Mahaday districts of Banadir and Middle Shabelle regions.",HSOM22-WSH-184249-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-06-02,Drought,,,,254753,SOM-22/3485/RA2 /WASH/NGO/21984,2022-07-04,2022-07-04
2022-06-02,2022,Improving the Protective Environment & Access to Child Protection and GBV services for Drought affected populations in Daynile and Kahda,180000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Towfiiq Umbrella Organization,NGO,Protection - Child Protection,SOM,"Protection Response services to displaced children and women affected by conflict from Guriceel and Hobyo in Galgadud, Galmudug state",HSOM22-PRO-184626-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-06-02,Drought,,,,254757,SOM-22/3485/RA2 /CP-GBV/NGO/21975,2022-07-04,2022-07-04
2022-06-02,2022,Improving the Protective Environment & Access to Child Protection and GBV services for Drought affected populations in Daynile and Kahda,120000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Towfiiq Umbrella Organization,NGO,"Protection - Child Protection,Protection - Gender-Based Violence",SOM,"Protection Response services to displaced children and women affected by conflict from Guriceel and Hobyo in Galgadud, Galmudug state",HSOM22-PRO-184626-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-06-02,Drought,,,,254758,SOM-22/3485/RA2 /CP-GBV/NGO/21975,2022-07-04,2022-07-04
2022-06-02,2022,"Enhancing food access and protection of livelihood for vulnerable households of Buuhodle , Toghdeer of Somaliland",600000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Vétérinaires sans Frontières - Germany,NGO,Food Security,SOM,Enhancing food access and protection of livelihood for vulnerable house holds of Puntland and Somaliland.,HSOM22-FSC-184641-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-06-02,Drought,,,,254759,SOM-22/3485/RA2 /FSC/INGO/22056,2022-07-04,2022-07-04
2022-06-02,2022,"Increased life-saving and sustainable access to water, sanitation and hygiene for disaster Affected Communities in Erigavo district – Sanaag Region",645506,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Horn of Africa Voluntary Youth Committee,NGO,Water Sanitation Hygiene,SOM,"Increased life-saving and sustainable access to water, sanitation and hygiene for disaster Affected Communities in Somaliland",HSOM22-WSH-184632-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-06-02,,,,,254773,SOM-22/3485/RA2 /WASH/NGO/22027,2022-07-04,2022-07-04
2022-06-02,2022,"Emergency supply of safe water, sanitation, and hygiene services among drought-affected households in Buudhoole district of Togdheel region",697742,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,"Candlelight for Health, Education and Environment",NGO,Water Sanitation Hygiene,SOM,,,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-01,2022-06-02,Drought,,,,254775,SOM-22/3485/RA2 /WASH/NGO/22006,2022-07-04,2022-07-04
2022-05-27,2022,Improved access to food and other urgent basic needs through multipurpose cash assistance for drought affected displaced households and families with malnourished children in Baidoa.,910000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Concern Worldwide,NGO,Food Security,SOM,Strengthening food and livelihood security of conflict and disaster affected vulnerable IDPs and host communities through support to agricultural production and cash assistance to meet their immediate basic needs.,HSOM22-FSC-184326-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-01,2022-05-27,Drought,,,,254691,SOM-22/3485/RA2 /FSC/INGO/21972,2022-07-01,2022-07-01
2022-05-27,2002,"Emergency support for IDPs and drought affected rural communities in IPC3&4 in Baidoa district, Bay region",630000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Cooperazione Internazionale - COOPI,NGO,Food Security,SOM,Provision of Life Saving assistance to the disaster affected communities in Somalia,HSOM22-FSC-184357-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-01,2022-05-27,Drought,,,,254693,SOM-22/3485/RA2 /FSC/INGO/22055,2022-07-01,2022-07-01
2022-05-27,2022,Provision of Protection Monitoring & Support for Acute at-risk populations in Lascanood and Buhoodle Districts,249458,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Somaliland Youth Development and Voluntary Organization,NGO,Protection,SOM,,,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-05-27,,,,,254768,SOM-22/3485/RA2 /Prot/NGO/21981,2022-07-04,2022-11-25
2022-05-27,2022,Emergency Food Security Response to drought affected communities in Odweyne District in the Togdheer region.,498172,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,"Candlelight for Health, Education and Environment",NGO,Food Security,SOM,Enhancing Food Security and Livelihoods among Vulnerable Communities ,HSOM22-FSC-184173-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-01,2022-05-27,Drought,,,,254774,SOM-22/3485/RA2 /FSC/NGO/22005,2022-07-04,2022-07-04
